id;mil_locationname;mil_type;mil_activity;mil_activitycode;kvk_businessnumber;kvk_activitycode;kvk_activity;bag_number;bag_usage;vest_name;vest_activity;vest_activitycode;vest_employeescode;woz_number;woz_usage;woz_size_normalized;longitude;latitude
159;Bedrijf 159;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-159;56101;Restaurants;bag-159;bijeenkomstfunctie;Bedrijf 159;Restaurants;56101;3;woz-159;Horeca in winkelpand;65;5.454464507;51.47702557
160;Bedrijf 160;Type A;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-160;94997;Overige belangenbehartiging n.e.g.;bag-160;onderwijsfunctie;Bedrijf 160;NA;NA;NA;woz-160;Alg voortgezet onderwijs MAVO/HAVO/VWO;0;5.491434416;51.43247507
161;Bedrijf 161;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-161;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-161;winkelfunctie;Bedrijf 161;NA;NA;NA;woz-161;Onbekend;0;5.472867426;51.44410377
162;Bedrijf 162;Type A;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-162;NA;NA;bag-162;bijeenkomstfunctie;Bedrijf 162;NA;NA;NA;woz-162;Onbekend;0;5.470017231;51.45332134
163;Bedrijf 163;Type A;931.Aa;Sporthallen;kvk-163;93141;Individuele zaalsport;bag-163;sportfunctie;Bedrijf 163;NA;NA;NA;woz-163;bedrijven;549;5.475731855;51.46677384
164;Bedrijf 164;Type A;NA;NA;kvk-164;NA;NA;bag-164;woonfunctie, industriefunctie;Bedrijf 164;NA;NA;NA;woz-164;Onbekend;0;5.404047376;51.45009783
165;Bedrijf 165;Type B;41, 42, 43.0;Bouwbedrijven algemeen: b.o. > 2.000 m;kvk-165;4652;Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen;bag-165;industriefunctie;Bedrijf 165;Groothandel in elektronische en telecommunicatieapparatuur;4652;7;woz-165;bedrijven;3364;5.448640357;51.42893161
166;Bedrijf 166;niet Wm;NA;NA;kvk-166;86231;Praktijken van tandartsen;bag-166;woonfunctie;Bedrijf 166;NA;NA;NA;woz-166;Onbekend;0;5.402782876;51.45434854
167;Bedrijf 167;Type A;4673.2;Grth in hout en bouwmaterialen:- algemeen: b.o. <= 2000 m;kvk-167;6420;Financiële holdings;bag-167;industriefunctie, kantoorfunctie;Bedrijf 167;Winkels in tegels;47524;4;woz-167;Productie (fabriek);2208;5.502513578;51.43373727
168;Bedrijf 168;Type A;941, 942;Bedrijfs- en werknemersorganisaties (kantoren);kvk-168;6420;Financiële holdings;bag-168;kantoorfunctie;Bedrijf 168;Vervaardiging v. platen,folie,buizen,profielen v. kunststof;2221;2;woz-168;opslag/distributie;673;5.417225932;51.43936691
169;Bedrijf 169;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-169;56101;Restaurants;bag-169;bijeenkomstfunctie;Bedrijf 169;Restaurants;56101;5;woz-169;Cafe/bar/restaurant;357;5.44023125;51.47944397
170;Bedrijf 170;Type B;25;vorkheftrucks, elektrisch;kvk-170;8130;Landschapsverzorging;bag-170;industriefunctie, kantoorfunctie;Bedrijf 170;Landschapsverzorging;8130;4;woz-170;bedrijven;540;5.476787904;51.43595447
171;Bedrijf 171;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-171;56101;Restaurants;bag-171;bijeenkomstfunctie;Bedrijf 171;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;2;woz-171;Horeca;188;5.483592737;51.43975688
172;Bedrijf 172;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-172;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-172;bijeenkomstfunctie;Bedrijf 172;Restaurants;56101;3;woz-172;Horeca in winkelpand;146;5.482743755;51.41605946
173;Bedrijf 173;niet Wm;NA;NA;kvk-173;NA;NA;bag-173;woonfunctie;Bedrijf 173;NA;NA;NA;woz-173;Onbekend;0;5.492168783;51.44378687
174;Bedrijf 174;niet Wm;NA;NA;kvk-174;NA;NA;bag-174;woonfunctie;Bedrijf 174;Detailhandel via internet in algemeen assortiment non-food;47919;2;woz-174;Onbekend;0;5.429485876;51.43929025
175;Bedrijf 175;Type A;8621, 8622, 8623;Artsenpraktijken, klinieken en dagverblijven;kvk-175;NA;NA;bag-175;winkelfunctie;Bedrijf 175;Overige paramedische praktijken (geen fysiotherapie, psych.);86919;4;woz-175;Winkel;244;5.47924295;51.4640834
176;Bedrijf 176;Type B;4674.2;Grth in ijzer- en metaalwaren en verwarmingsapparatuur:- algemeen: b.o. < = 2.000 m;kvk-176;46499;Groothandel in overige consumentenartikelen (non-food) n.e.g.;bag-176;industriefunctie;Bedrijf 176;Groothandel in overige consumentenartikelen (non-food) n.e.g;46499;4;woz-176;opslag/distributie;1153;5.422367919;51.46338315
177;Bedrijf 177;niet Wm;NA;NA;kvk-177;NA;NA;bag-177;woonfunctie;Bedrijf 177;NA;NA;NA;woz-177;Onbekend;0;5.423197965;51.48284144
178;Bedrijf 178;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-178;45203;Reparatie van specifieke auto-onderdelen;bag-178;industriefunctie;Bedrijf 178;NA;NA;NA;woz-178;opslag/distributie;673;5.418273016;51.48045918
179;Bedrijf 179;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-179;56101;Restaurants;bag-179;winkelfunctie;Bedrijf 179;Restaurants;56101;4;woz-179;Winkel;183;5.44655799;51.42801447
180;Bedrijf 180;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-180;55101;Hotel-restaurants;bag-180;bijeenkomstfunctie;Bedrijf 180;NA;NA;NA;woz-180;Horeca in winkelpand;215;5.483224277;51.43683764
181;Bedrijf 181;Type B;5510;Hotels en pensions met keuken, conferentie-oorden en congrescentra;kvk-181;5629;Kantines en contractcatering;bag-181;bijeenkomstfunctie;Bedrijf 181;Groothandel in textielwaren algemeen assortiment;46429;2;woz-181;Congresgebouw;14693;5.44109366;51.43928238
182;Bedrijf 182;Type B;63,69-71,73,74,77,78;Overige zakelijke dienstverlening: kantoren;kvk-182;7112;Ingenieurs en overig technisch ontwerp en advies;bag-182;kantoorfunctie;Bedrijf 182;Bedrijfs- en werkgeversorganisaties;9411;4;woz-182;Onbekend;0;5.456850789;51.4371527
183;Bedrijf 183;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-183;4765;Winkels in speelgoed;bag-183;winkelfunctie;Bedrijf 183;Winkels in schoenen;47721;4;woz-183;Supermarkt/warenhuis;1071;5.502513578;51.43373727
184;Bedrijf 184;Type A;8891.2;Kinderopvang;kvk-184;8891;Kinderopvang en peuterspeelzaalwerk;bag-184;bijeenkomstfunctie;Bedrijf 184;Kinderopvang;88911;5;woz-184;Creche/peuterspeelzaal;0;5.486068218;51.4262264
185;Bedrijf 185;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-185;45112;Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe);bag-185;industriefunctie;Bedrijf 185;Handel in en reparatie van personenautos en bedrijfsautos;45112;2;woz-185;bedrijven;320;5.481187622;51.43970138
186;Bedrijf 186;Type A;63,69-71,73,74,77,78;Overige zakelijke dienstverlening: kantoren;kvk-186;74102;Industrieel en productontwerp;bag-186;kantoorfunctie;Bedrijf 186;NA;NA;NA;woz-186;bedrijven;968;5.475728162;51.46847564
187;Bedrijf 187;Type B;9609.A;Dierenasiels en -pensions;kvk-187;9609;Overige dienstverlening n.e.g.;bag-187;woonfunctie, industriefunctie, winkelfunctie;Bedrijf 187;Overige dienstverlening (rest);9609;5;woz-187;Dierenasiel;0;5.429816307;51.43717074
188;Bedrijf 188;Type B;812;Reinigingsbedrijven voor gebouwen;kvk-188;NA;NA;bag-188;industriefunctie;Bedrijf 188;NA;NA;NA;woz-188;opslag/distributie;500;5.466176937;51.43032172
189;Bedrijf 189;Type B;464, 46733;Grth in overige consumentenartikelen;kvk-189;46499;Groothandel in overige consumentenartikelen (non-food) n.e.g.;bag-189;winkelfunctie;Bedrijf 189;Groothandel in papier- en kartonwaren (geen verpakkingsmat.);46497;4;woz-189;opslag/distributie;1231;5.445061179;51.47199394
190;Bedrijf 190;Type A;NA;NA;kvk-190;6120;Draadloze telecommunicatie;bag-190;winkelfunctie;Bedrijf 190;Winkels in telecommunicatieapparatuur;4742;4;woz-190;Winkel;113;5.465599508;51.43076322
191;Bedrijf 191;Type B;471;Supermarkten, warenhuizen;kvk-191;47761;Winkels in bloemen en planten, zaden en tuinbenodigdheden;bag-191;winkelfunctie;Bedrijf 191;Supermarkten en dergelijke winkels met een algemeen assort.;4711;6;woz-191;Supermarkt/warenhuis;5024;5.43219372;51.41926577
192;Bedrijf 192;Type A;471;Supermarkten, warenhuizen;kvk-192;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-192;woonfunctie, winkelfunctie;Bedrijf 192;Supermarkten en dergelijke winkels met een algemeen assort.;4711;1;woz-192;Winkel;167;5.479877724;51.46121294
193;Bedrijf 193;Type A;9609.B;Persoonlijke dienstverlening n.e.g.;kvk-193;94993;Steunfondsen (niet op het gebied van welzijnszorg);bag-193;kantoorfunctie;Bedrijf 193;Maatschappelijk werk;88992;7;woz-193;Kantoor;447;5.481022426;51.44410949
194;Bedrijf 194;niet Wm;NA;NA;kvk-194;69103;Notariskantoren;bag-194;kantoorfunctie;Bedrijf 194;Notariskantoren;69103;5;woz-194;Kantoor;657;5.483224277;51.43683764
195;Bedrijf 195;Type B;152;Schoenenfabrieken;kvk-195;6420;Financiële holdings;bag-195;gezondheidszorgfunctie;Bedrijf 195;Vervaardiging van medische instrumenten en hulpmiddelen;32502;7;woz-195;Praktijkruimte;1740;5.455348803;51.4265908
196;Bedrijf 196;Type A;NA;NA;kvk-196;86102;Algemene ziekenhuizen;bag-196;gezondheidszorgfunctie;Bedrijf 196;Algemene ziekenhuizen;86102;10;woz-196;Ziekenhuis;0;5.473476726;51.46129519
197;Bedrijf 197;niet Wm;NA;NA;kvk-197;NA;NA;bag-197;woonfunctie;Bedrijf 197;NA;NA;NA;woz-197;Onbekend;0;5.429689954;51.42317836
198;Bedrijf 198;Type B;8621, 8622, 8623;Artsenpraktijken, klinieken en dagverblijven;kvk-198;86231;Praktijken van tandartsen;bag-198;gezondheidszorgfunctie;Bedrijf 198;Praktijken van tandartsen;86231;3;woz-198;Praktijkruimte;550;5.390709924;51.45581434
199;Bedrijf 199;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-199;71202;Keuring en controle van machines, apparaten en materialen;bag-199;industriefunctie;Bedrijf 199;Administratiekantoren voor aandelen en obligaties;66191;1;woz-199;Onderhoud/reparatie;150;5.475326475;51.47071643
200;Bedrijf 200;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-200;56101;Restaurants;bag-200;bijeenkomstfunctie;Bedrijf 200;Restaurants;56101;3;woz-200;Cafe/bar/restaurant met woongedeelte;140;5.481144706;51.43652657
201;Bedrijf 201;niet Wm;NA;NA;kvk-201;74201;Fotografie;bag-201;industriefunctie;Bedrijf 201;Fotografie;74201;2;woz-201;Atelier/werkruimte;140;5.447829507;51.43263347
202;Bedrijf 202;Type A;NA;NA;kvk-202;47527;Winkels gespecialiseerd in overige doe-het-zelfartikelen;bag-202;woonfunctie, industriefunctie;Bedrijf 202;Winkels gespecialiseerd in overige doe-het-zelfartikelen;47527;3;woz-202;opslag/distributie;587;5.458026311;51.45171964
203;Bedrijf 203;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-203;47915;Detailhandel via postorder en internet in huis- en tuinartikelen;bag-203;industriefunctie;Bedrijf 203;NA;NA;NA;woz-203;Productie (fabriek);320;5.443763472;51.43737609
204;Bedrijf 204;Type B;451, 452, 454;Handel in autos en motorfietsen, reparatie- en servicebedrijven;kvk-204;45112;Handel in en reparatie van personenautos en lichte bedrijfsautos (geen import van nieuwe);bag-204;industriefunctie;Bedrijf 204;Handel in en reparatie van personenautos en bedrijfsautos;45112;3;woz-204;bedrijven;1026;5.454684599;51.43744754
205;Bedrijf 205;Type A;952;Reparatie t.b.v. particulieren (excl. autos en motorfietsen);kvk-205;45203;Reparatie van specifieke auto-onderdelen;bag-205;industriefunctie;Bedrijf 205;Reparatie van specifieke auto-onderdelen;45203;4;woz-205;Productie (fabriek);540;5.503777716;51.41980926
206;Bedrijf 206;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-206;NA;NA;bag-206;woonfunctie;Bedrijf 206;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;3;woz-206;Onbekend;0;5.467956337;51.42900681
207;Bedrijf 207;Type B;471;Supermarkten, warenhuizen;kvk-207;4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;bag-207;winkelfunctie;Bedrijf 207;Supermarkten en dergelijke winkels met een algemeen assort.;4711;5;woz-207;Supermarkt/warenhuis;2711;5.430800258;51.43494749
208;Bedrijf 208;Type A;466.2;Grth in machines en apparaten:- overige;kvk-208;46779;Groothandel in overige oude materialen en afvalstoffen;bag-208;industriefunctie;Bedrijf 208;Vervaardiging van golfpapier en -karton;17212;6;woz-208;Productie (fabriek);11509;5.477995886;51.44052366
209;Bedrijf 209;Type B;2562, 3311.1;Overige metaalbewerkende industrie;kvk-209;46779;Groothandel in overige oude materialen en afvalstoffen;bag-209;industriefunctie;Bedrijf 209;Vervaardiging van golfpapier en -karton;17212;6;woz-209;Productie (fabriek);11509;5.478362952;51.43558044
210;Bedrijf 210;Type B;5221.1;Autoparkeerterreinen, parkeergarages;kvk-210;5221;Dienstverlening voor vervoer over land;bag-210;bijeenkomstfunctie;Bedrijf 210;Ontwikkelen, produceren en uitgeven van software;6201;6;woz-210;Parkeerplaatsen binnen/buiten niet woning;0;5.396007933;51.46063206
211;Bedrijf 211;Type B;18129;Kleine drukkerijen en kopieerinrichtingen;kvk-211;6420;Financiële holdings;bag-211;industriefunctie;Bedrijf 211;Drukkerijen van boeken e.d.;18121;4;woz-211;opslag/distributie;484;5.519875042;51.44796192
212;Bedrijf 212;Type A;852, 8531;Scholen voor basis- en algemeen voortgezet onderwijs;kvk-212;85201;Basisonderwijs voor leerplichtigen;bag-212;onderwijsfunctie;Bedrijf 212;Basisonderwijs voor leerplichtigen;85201;6;woz-212;Basisschool;0;5.455472041;51.4266677
213;Bedrijf 213;Type A;NA;NA;kvk-213;NA;NA;bag-213;industriefunctie;Bedrijf 213;NA;NA;NA;woz-213;Onderhoud/reparatie met woongedeelte;182;5.481191032;51.43666731
214;Bedrijf 214;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-214;56101;Restaurants;bag-214;bijeenkomstfunctie;Bedrijf 214;NA;NA;NA;woz-214;Horeca in winkelpand;889;5.449541788;51.43874599
215;Bedrijf 215;Type B;NA;NA;kvk-215;NA;NA;bag-215;woonfunctie, bijeenkomstfunctie;Bedrijf 215;Cafés;5630;3;woz-215;Cafe/bar/restaurant;94;5.483224277;51.43683764
