id;mil_locationname;mil_type;mil_activity;mil_activitycode;kvk_businessnumber;kvk_activitycode;kvk_activity;bag_number;bag_usage;vest_name;vest_activity;vest_activitycode;vest_employeescode;woz_number;woz_usage;woz_size_normalized;longitude;latitude
226;Bedrijf 226;Type B;563.1;Cafés, bars;kvk-226;5630;Cafés;bag-226;bijeenkomstfunctie;Bedrijf 226;Cafés;5630;3;woz-226;Horeca met woongedeelte;105;5.472416469;51.46061782
227;Bedrijf 227;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-227;56101;Restaurants;bag-227;winkelfunctie;Bedrijf 227;Restaurants;56101;2;woz-227;Cafe/bar/restaurant;285;5.477067736;51.43751896
228;Bedrijf 228;Type B;NA;NA;kvk-228;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-228;bijeenkomstfunctie;Bedrijf 228;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;3;woz-228;Horeca in winkelpand met woongedeelte;108;5.490724819;51.4256544
229;Bedrijf 229;Type B;35.D4;Gasdistributiebedrijven:- gasdrukregel- en meetruimten (kasten en gebouwen), cat. B en C;kvk-229;68204;Verhuur van onroerend goed (niet van woonruimte);bag-229;industriefunctie;Bedrijf 229;Wasserijen en linnenverhuur;96011;8;woz-229;opslag/distributie;11253;5.464056947;51.44907343
230;Bedrijf 230;Type B;NA;NA;kvk-230;NA;NA;bag-230;bijeenkomstfunctie;Bedrijf 230;NA;NA;NA;woz-230;Onbekend;0;5.474366073;51.44735122
231;Bedrijf 231;Type C;473.2;Benzineservisestations:- met LPG < 1000 m3/jr;kvk-231;4730;Benzinestations;bag-231;winkelfunctie;Bedrijf 231;NA;NA;NA;woz-231;Benzinestation;0;5.493607858;51.42648674
232;Bedrijf 232;Type A;494.1;Goederenwegvervoerbedrijven (zonder schoonmaken tanks) b.o. <= 1000 m;kvk-232;77299;Verhuur van overige consumentenartikelen n.e.g.;bag-232;woonfunctie;Bedrijf 232;Verhuur van overige consumentenartikelen (rest);77299;3;woz-232;Onbekend;0;5.4427631;51.4385047
233;Bedrijf 233;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-233;56102;Cafetarias, lunchrooms, snackbars, eetkramen e.d.;bag-233;bijeenkomstfunctie;Bedrijf 233;Cafetarias, lunchrooms, snackbars, ijssalons, eetkramen e.d;56102;3;woz-233;Cafetaria/snackbar met woongedeelte;98;5.460098604;51.47791278
234;Bedrijf 234;Type B;146;Fokken en houden van varkens;kvk-234;1461;onbekend;bag-234;industriefunctie;Bedrijf 234;Fokken en houden van varkens;146;2;woz-234;Intensieve veehouderij met woonged vark;0;5.467396161;51.43892084
235;Bedrijf 235;Type B;149.3;Fokken en houden van overige dieren:- huisdieren;kvk-235;NA;NA;bag-235;woonfunctie;Bedrijf 235;Groothandel in overige consumentenartikelen (non-food) n.e.g;46499;3;woz-235;Onbekend;0;5.486652173;51.47179249
236;Bedrijf 236;Type A;34;liftinstallaties;kvk-236;NA;NA;bag-236;woonfunctie;Bedrijf 236;NA;NA;NA;woz-236;Onbekend;0;5.478497823;51.44015365
237;Bedrijf 237;Type A;NA;NA;kvk-237;NA;NA;bag-237;sportfunctie;Bedrijf 237;Sporthallen, sportzalen en gymzalen;93112;2;woz-237;Sporthal/sportzaal;0;5.522346017;51.44678079
238;Bedrijf 238;Type B;41, 42, 43.1;Bouwbedrijven algemeen: b.o. <= 2.000 m;kvk-238;7311;Reclamebureaus;bag-238;industriefunctie;Bedrijf 238;Vervaardiging van overig timmerwerk voor de bouw;16239;8;woz-238;Productie (fabriek);14370;5.486244308;51.47636713
239;Bedrijf 239;niet Wm;NA;NA;kvk-239;NA;NA;bag-239;woonfunctie;Bedrijf 239;NA;NA;NA;woz-239;Onbekend;0;5.445410097;51.4307448
240;Bedrijf 240;niet Wm;NA;NA;kvk-240;8553;Auto- en motorrijscholen;bag-240;winkelfunctie;Bedrijf 240;Auto- en motorrijscholen;8553;5;woz-240;Winkel;820;5.43446464;51.43359258
241;Bedrijf 241;Type A;47.A;Detailhandel voor zover n.e.g.;kvk-241;47811;Markthandel in aardappelen, groenten en fruit;bag-241;woonfunctie;Bedrijf 241;Markthandel in aardappelen, groenten en fruit;47811;1;woz-241;Productie (fabriek);238;5.493534034;51.47718753
242;Bedrijf 242;niet Wm;NA;NA;kvk-242;45201;Auto-onderdelenservicebedrijven;bag-242;industriefunctie;Bedrijf 242;Reparatie van elektrische apparatuur;3314;2;woz-242;Productie (fabriek) met woongedeelte;331;5.483067049;51.4357628
243;Bedrijf 243;Type A;63,69-71,73,74,77,78;Overige zakelijke dienstverlening: kantoren;kvk-243;7112;Ingenieurs en overig technisch ontwerp en advies;bag-243;industriefunctie;Bedrijf 243;Ingenieurs en overig technisch ontwerp en advies;7112;4;woz-243;opslag/distributie;1210;5.512693406;51.44472767
244;Bedrijf 244;niet Wm;NA;NA;kvk-244;NA;NA;bag-244;woonfunctie;Bedrijf 244;NA;NA;NA;woz-244;Onbekend;0;5.478476987;51.46131872
245;Bedrijf 245;Type B;561;Restaurants, cafetarias, snackbars, ijssalons met eigen ijsbereiding, viskramen e.d.;kvk-245;56101;Restaurants;bag-245;bijeenkomstfunctie;Bedrijf 245;Restaurants;56101;4;woz-245;Horeca in winkelpand;153;5.483224277;51.43683764
246;Bedrijf 246;Type A;NA;NA;kvk-246;4634;Groothandel in dranken (geen zuivel);bag-246;winkelfunctie;Bedrijf 246;Groothandel in dranken (geen zuivel);4634;2;woz-246;Winkel;160;5.475085912;51.43888124
247;Bedrijf 247;Type A;9101, 9102;Bibliotheken, musea, ateliers, e.d.;kvk-247;NA;NA;bag-247;industriefunctie, kantoorfunctie;Bedrijf 247;Overige binnensport en omnisport;93149;2;woz-247;opslag/distributie;331;5.499821809;51.4227987
248;Bedrijf 248;Type B;4778;Detailhandel in vuurwerk tot 10 ton verpakt;kvk-248;47641;Winkels in fietsen en bromfietsen;bag-248;winkelfunctie;Bedrijf 248;NA;NA;NA;woz-248;Winkel;265;5.472920898;51.44402355
249;Bedrijf 249;Type B;563.1;Cafés, bars;kvk-249;NA;NA;bag-249;bijeenkomstfunctie;Bedrijf 249;NA;NA;NA;woz-249;Cafe/bar/restaurant met woongedeelte;134;5.485725182;51.425191
250;Bedrijf 250;Type B;941, 942;Bedrijfs- en werknemersorganisaties (kantoren);kvk-250;88101;Thuiszorg;bag-250;kantoorfunctie;Bedrijf 250;Thuiszorg;88101;5;woz-250;Kantoor;2646;5.476806522;51.45152306
;;;;;;;;;;;;;;;;;;
